"ID";"Timestamp";"Q2_1";"Q2_2";"Q2_3";"Q3_1";"Q4_1";"Q4_2_1";"Q4_2_2";"Q4_2_3";"Q4_2_4";"Q5_1";"Q5_2";"Q5_4";"Q5_5";"Q5_6";"Q5_7_1";"Q5_7_2";"Q5_7_3";"Q5_7_4";"Q5_7_5";"Q5_7_6";"Q5_7_7";"Q5_7_8";"Q5_7_9";"Q5_7_10";"Q6_1_1";"Q6_1_2";"Q6_1_3";"Q6_1_4";"Q6_1_5";"Q6_3";"Q6_4";"Q6_5";"Q7_1";"Q7_2";"Q7_3";"Q7_4";"Q7_5";"Q7_6";"Q7_7";"Q7_9";"Q7_10";"Q8_1";"Q9_1_1";"Q9_1_2";"Q9_1_3";"Q9_1_4";"Q9_1_5";"Q9_1_6"
1;2017-07-31 15:40:28;NA;22;7;"Yes, I solely used the lecture recordings.";"Yes";FALSE;TRUE;FALSE;FALSE;"no answer";"No";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;5;5;4;4;4;"No";NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2017-07-31 15:40:33;"male";23;3;"Yes, parallel to the lectures.";"Yes";TRUE;FALSE;FALSE;FALSE;"about half";"No";"I usually only watch parts of a lecture recording.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE;FALSE;FALSE;"always alone";"in the university";"Computer";5;5;5;4;4;3;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
3;2017-07-31 16:22:17;"male";22;3;"Yes, I solely used the lecture recordings.";"No";NA;NA;NA;NA;"a few";"No";"I usually watched lecture recordings completely.";"Yes";"almost all";TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;5;5;4;4;5;"Yes";"Windows 10";"Google Chrome / Chromium";"sehr zufrieden";NA;NA;NA;NA;NA;NA
4;2017-07-31 16:35:09;"female";22;5;"Yes, parallel to the lectures.";"Yes";TRUE;FALSE;FALSE;FALSE;"a few";"Yes";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;TRUE;TRUE;FALSE;FALSE;"mostly together with other people";"at home";"Laptop";5;1;5;5;4;4;"Yes";"Windows 10";"Firefox";"eher zufrieden";NA;NA;NA;NA;NA;NA
5;2017-07-31 16:37:37;"male";21;6;"Yes, parallel to the lectures.";"No";NA;NA;NA;NA;"about half";"No";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";4;5;3;4;3;5;"No";NA;NA;"sehr zufrieden";NA;NA;NA;NA;NA;NA
6;2017-07-31 16:45:17;"male";25;6;"Yes, parallel to the lectures.";"No";NA;NA;NA;NA;"almost all";"No";"I usually watched lecture recordings completely.";"Yes";"about half";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;"always alone";"at home";"Laptop";5;4;4;5;4;4;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
7;2017-07-31 17:05:37;"male";21;4;"Yes, I solely used the lecture recordings.";"Yes";TRUE;FALSE;FALSE;FALSE;"about half";"No";"I usually watched lecture recordings completely.";"Yes";"a few";TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;"always alone";"at home";"Laptop";5;4;4;5;4;5;"Yes";"Windows 10";"Google Chrome / Chromium";"sehr zufrieden";NA;NA;NA;NA;NA;NA
8;2017-07-31 17:15:41;"male";24;6;"Yes, I solely used the lecture recordings.";"Yes";TRUE;FALSE;FALSE;FALSE;"almost all";"Yes";"I usually only watch parts of a lecture recording.";"Yes";"a few";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";3;4;5;2;2;4;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
9;2017-07-31 17:40:03;"male";22;6;"Yes, parallel to the lectures.";"Yes";FALSE;TRUE;TRUE;FALSE;"almost all";"Yes";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;2;5;4;3;3;"No";NA;NA;"sehr zufrieden";NA;NA;NA;NA;NA;NA
10;2017-07-31 18:03:41;"male";20;4;"Yes, parallel to the lectures.";"Yes";TRUE;FALSE;FALSE;FALSE;"about half";"No";"I usually only watch parts of a lecture recording.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;"mostly alone";"at home";"Laptop";5;1;3;2;4;3;"No";NA;NA;"eher unzufrieden";NA;NA;NA;NA;NA;NA
